Time	Channel A	Channel B
(us)	(V)	(V)

-93.72360587	0.00488341	0.00976682
-93.71110588	-0.00610426	0.00976682
-93.69860588	0.00488341	0.00976682
-93.68610588	-0.00610426	-0.00610426
-93.67360588	0.00000000	0.01465023
-93.66110588	-0.00610426	0.00488341
-93.64860588	0.00488341	0.00976682
-93.63610588	-0.00610426	0.00000000
-93.62360588	0.00976682	0.00488341
-93.61110588	0.00488341	0.00976682
-93.59860588	0.00000000	0.00000000
-93.58610588	-0.01098767	0.00976682
-93.57360588	0.00000000	0.00976682
-93.56110588	-0.01709193	0.00976682
-93.54860588	0.00000000	0.00976682
-93.53610589	0.00488341	0.00488341
-93.52360589	-0.00610426	0.00000000
-93.51110589	-0.00610426	0.00976682
-93.49860589	-0.00610426	0.02075449
-93.48610589	0.00000000	0.01465023
-93.47360589	0.00000000	0.00488341
-93.46110589	0.00000000	0.01465023
-93.44860589	-0.00610426	0.00488341
-93.43610589	0.00000000	0.00976682
-93.42360589	0.00488341	0.01465023
-93.41110589	-0.00610426	0.00488341
-93.39860589	0.00000000	0.01465023
-93.38610589	0.00488341	0.00488341
-93.37360590	0.00488341	0.00000000
-93.36110590	-0.01098767	0.01465023
-93.34860590	0.00000000	0.00488341
-93.33610590	0.00000000	0.00000000
-93.32360590	0.00000000	0.00000000
-93.31110590	0.00488341	0.00488341
-93.29860590	-0.00610426	0.00488341
-93.28610590	-0.00610426	0.00488341
-93.27360590	0.00488341	0.00488341
-93.26110590	0.00000000	0.01465023
-93.24860590	0.00488341	0.00976682
-93.23610590	0.00000000	0.00488341
-93.22360590	0.00976682	0.00488341
-93.21110590	-0.00610426	0.00488341
-93.19860591	0.00000000	0.00488341
-93.18610591	-0.01098767	0.00488341
-93.17360591	-0.00610426	0.00000000
-93.16110591	0.00000000	0.00488341
-93.14860591	0.00976682	0.00488341
-93.13610591	0.00000000	0.00000000
-93.12360591	0.01587108	0.00488341
-93.11110591	0.00488341	0.00488341
-93.09860591	-0.00610426	0.01465023
-93.08610591	-0.00610426	0.00000000
-93.07360591	-0.00610426	0.00488341
-93.06110591	-0.01098767	0.00000000
-93.04860591	-0.00610426	0.00976682
-93.03610592	-0.01709193	0.00488341
-93.02360592	0.00000000	0.00488341
-93.01110592	-0.01098767	0.00976682
-92.99860592	0.00000000	0.00000000
-92.98610592	-0.00610426	0.00488341
-92.97360592	-0.00610426	0.00488341
-92.96110592	-0.00610426	0.00976682
-92.94860592	0.00000000	0.00000000
-92.93610592	-0.00610426	0.00000000
-92.92360592	-0.01098767	0.00488341
-92.91110592	0.00488341	0.00488341
-92.89860592	0.00488341	0.00976682
-92.88610592	-0.00610426	-0.00610426
-92.87360593	0.00000000	0.00488341
-92.86110593	0.00000000	0.00000000
-92.84860593	-0.00610426	0.00488341
-92.83610593	-0.00610426	0.00976682
-92.82360593	-0.00610426	-0.00610426
-92.81110593	0.00976682	0.00488341
-92.79860593	-0.00610426	0.00488341
-92.78610593	0.00000000	0.00000000
-92.77360593	-0.00610426	0.00000000
-92.76110593	-0.00610426	0.00000000
-92.74860593	0.00000000	-0.00610426
-92.73610593	0.00488341	-0.01587108
-92.72360593	0.00000000	0.00488341
-92.71110593	-0.00610426	0.00488341
-92.69860594	-0.00610426	0.00000000
-92.68610594	-0.00610426	0.00488341
-92.67360594	-0.00610426	0.00000000
-92.66110594	0.00000000	0.01465023
-92.64860594	0.00488341	0.01465023
-92.63610594	-0.00610426	0.00488341
-92.62360594	0.00000000	0.00488341
-92.61110594	-0.01098767	0.00488341
-92.59860594	0.00000000	0.00488341
-92.58610594	0.00976682	0.00488341
-92.57360594	0.00488341	-0.00610426
-92.56110594	-0.00610426	0.00488341
-92.54860594	-0.00610426	0.00976682
-92.53610595	-0.00610426	0.00000000
-92.52360595	0.00488341	0.00976682
-92.51110595	0.00488341	-0.00610426
-92.49860595	-0.00610426	0.00000000
-92.48610595	0.00488341	-0.00610426
-92.47360595	0.00000000	0.00488341
-92.46110595	0.00000000	0.00488341
-92.44860595	0.00000000	0.00976682
-92.43610595	-0.00610426	0.01465023
-92.42360595	0.00000000	0.00976682
-92.41110595	0.00488341	0.00976682
-92.39860595	-0.00610426	0.00488341
-92.38610595	-0.00610426	0.00000000
-92.37360595	-0.00610426	-0.00610426
-92.36110596	0.00000000	0.00488341
-92.34860596	-0.01098767	0.00976682
-92.33610596	0.00000000	0.00000000
-92.32360596	-0.00610426	0.00000000
-92.31110596	-0.01709193	0.00976682
-92.29860596	-0.00610426	0.00488341
-92.28610596	0.00488341	0.00488341
-92.27360596	0.00000000	0.00000000
-92.26110596	-0.01098767	0.00000000
-92.24860596	-0.01098767	0.00000000
-92.23610596	0.00000000	0.00488341
-92.22360596	-0.00610426	0.00000000
-92.21110596	0.00000000	0.00000000
-92.19860597	0.00000000	0.00000000
-92.18610597	-0.00610426	-0.00610426
-92.17360597	-0.00610426	0.00488341
-92.16110597	0.00000000	0.00488341
-92.14860597	0.00000000	0.00488341
-92.13610597	0.00488341	-0.01098767
-92.12360597	-0.01098767	-0.00610426
-92.11110597	-0.00610426	-0.01587108
-92.09860597	-0.01098767	0.00976682
-92.08610597	-0.01098767	0.00000000
-92.07360597	-0.00610426	0.00488341
-92.06110597	-0.01098767	-0.00610426
-92.04860597	-0.00610426	0.00976682
-92.03610597	0.00488341	-0.00610426
-92.02360598	-0.00610426	0.00000000
-92.01110598	0.00000000	0.00488341
-91.99860598	0.00000000	0.00000000
-91.98610598	0.00488341	-0.00610426
-91.97360598	-0.01098767	0.00000000
-91.96110598	-0.01098767	0.00488341
-91.94860598	-0.00610426	0.00000000
-91.93610598	0.00000000	-0.01098767
-91.92360598	-0.00610426	-0.00610426
-91.91110598	-0.01098767	0.00488341
-91.89860598	0.00000000	-0.00610426
-91.88610598	-0.00610426	0.00000000
-91.87360598	-0.00610426	-0.00610426
-91.86110599	-0.01098767	0.00488341
-91.84860599	0.00488341	0.00000000
-91.83610599	-0.01098767	-0.00610426
-91.82360599	-0.01098767	-0.01098767
-91.81110599	0.00488341	0.00488341
-91.79860599	0.00000000	-0.01098767
-91.78610599	-0.00610426	0.00000000
-91.77360599	-0.02197534	0.00488341
-91.76110599	-0.01098767	-0.00610426
-91.74860599	-0.00610426	0.00488341
-91.73610599	-0.01709193	0.00488341
-91.72360599	-0.01098767	0.00000000
-91.71110599	-0.00610426	0.00488341
-91.69860599	-0.02197534	0.00000000
-91.68610600	-0.01098767	-0.00610426
-91.67360600	-0.00610426	0.00000000
-91.66110600	-0.00610426	-0.00610426
-91.64860600	-0.00610426	0.00000000
-91.63610600	-0.00610426	-0.00610426
-91.62360600	-0.01098767	0.00488341
-91.61110600	-0.01098767	0.00488341
-91.59860600	-0.00610426	-0.01098767
-91.58610600	0.00000000	-0.01098767
-91.57360600	-0.00610426	-0.00610426
-91.56110600	-0.00610426	-0.00610426
-91.54860600	0.00000000	0.01465023
-91.53610600	-0.00610426	-0.00610426
-91.52360601	-0.01098767	0.00488341
-91.51110601	-0.01098767	-0.00610426
-91.49860601	-0.01098767	-0.00610426
-91.48610601	-0.01098767	0.00000000
-91.47360601	0.00488341	0.00000000
-91.46110601	-0.01098767	0.00000000
-91.44860601	-0.01709193	-0.00610426
-91.43610601	-0.01709193	0.00000000
-91.42360601	0.00488341	-0.00610426
-91.41110601	0.00488341	-0.01098767
-91.39860601	-0.00610426	0.00000000
-91.38610601	0.00000000	-0.00610426
-91.37360601	-0.01098767	0.00000000
-91.36110601	0.00488341	-0.00610426
-91.34860602	-0.01098767	0.00488341
-91.33610602	-0.00610426	0.00488341
-91.32360602	-0.00610426	-0.00610426
-91.31110602	0.00000000	0.00488341
-91.29860602	-0.01098767	0.00488341
-91.28610602	-0.00610426	0.00000000
-91.27360602	-0.00610426	0.00000000
-91.26110602	0.00488341	0.00000000
-91.24860602	-0.00610426	-0.01587108
-91.23610602	0.00000000	-0.00610426
-91.22360602	-0.01709193	0.00000000
-91.21110602	0.00000000	-0.00610426
-91.19860602	-0.01098767	-0.01098767
-91.18610603	-0.01098767	0.00976682
-91.17360603	0.00000000	-0.00610426
-91.16110603	-0.01709193	0.02075449
-91.14860603	-0.01709193	-0.00610426
-91.13610603	-0.01098767	0.00000000
-91.12360603	0.00488341	0.00000000
-91.11110603	-0.00610426	0.00000000
-91.09860603	-0.01098767	0.00000000
-91.08610603	-0.01098767	0.00976682
-91.07360603	-0.01098767	-0.00610426
-91.06110603	-0.00610426	0.00000000
-91.04860603	0.00000000	0.00000000
-91.03610603	-0.01098767	-0.00610426
-91.02360603	-0.00610426	-0.00610426
-91.01110604	-0.01098767	0.00000000
-90.99860604	-0.01098767	-0.01098767
-90.98610604	-0.00610426	0.00000000
-90.97360604	0.00000000	0.00000000
-90.96110604	0.00000000	-0.00610426
-90.94860604	-0.00610426	0.00000000
-90.93610604	-0.00610426	-0.00610426
-90.92360604	-0.01709193	0.00000000
-90.91110604	-0.01098767	-0.00610426
-90.89860604	-0.00610426	-0.00610426
-90.88610604	0.00488341	-0.01587108
-90.87360604	-0.01709193	0.00488341
-90.86110604	0.00000000	0.00000000
-90.84860605	-0.00610426	0.00488341
-90.83610605	-0.00610426	-0.01098767
-90.82360605	-0.01098767	-0.01098767
-90.81110605	-0.01098767	-0.00610426
-90.79860605	0.00000000	-0.00610426
-90.78610605	-0.01098767	-0.01098767
-90.77360605	-0.00610426	0.00000000
-90.76110605	-0.01098767	0.00000000
-90.74860605	-0.00610426	-0.00610426
-90.73610605	-0.01098767	0.00488341
-90.72360605	0.00000000	-0.00610426
-90.71110605	-0.01709193	-0.01098767
-90.69860605	-0.01098767	-0.00610426
-90.68610605	-0.01709193	-0.01098767
-90.67360606	-0.00610426	0.00000000
-90.66110606	-0.00610426	-0.00610426
-90.64860606	-0.01709193	-0.00610426
-90.63610606	-0.01098767	0.00000000
-90.62360606	-0.01098767	0.00488341
-90.61110606	-0.01098767	0.00000000
-90.59860606	-0.01709193	-0.00610426
